"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Developmental Growth",1.10139671228826,0.0734290076753312,4.50749929616257,0.000119579252195793,0.0142652780825193,1.17596145068641
"Nervous System Process",1.03178359924642,0.055690107185039,4.37692248822234,0.000169091840094828,0.0142652780825193,0.850925165274932
"Regulation Of Response To Stress",0.831345411685079,-0.0716096741149452,4.2569773383856,0.000232289513892558,0.0142652780825193,0.553303042952087
"Positive Regulation Of Transport",-0.931709123455047,0.0333261771441119,-4.13778488253168,0.000318184641245784,0.0142652780825193,0.258722593248613
"Regulation Of Vesicle Mediated Transport",-0.931709123455047,0.0333261771441119,-4.13778488253168,0.000318184641245784,0.0142652780825193,0.258722593248613
"Secretion",-0.931709123455047,0.0333261771441119,-4.13778488253168,0.000318184641245784,0.0142652780825193,0.258722593248613
"Inflammatory Response",0.838685354540277,-0.0392951775247748,3.80680312686906,0.000757218493216954,0.0201178147433839,-0.550754786366616
"Regulation Of Defense Response",0.838685354540277,-0.0392951775247748,3.80680312686906,0.000757218493216954,0.0201178147433839,-0.550754786366616
"Regulation Of Inflammatory Response",0.838685354540277,-0.0392951775247748,3.80680312686906,0.000757218493216954,0.0201178147433839,-0.550754786366616
"Regulation Of Response To External Stimulus",0.838685354540277,-0.0392951775247748,3.80680312686906,0.000757218493216954,0.0201178147433839,-0.550754786366616
"Vesicle Organization",-0.927998563936064,-0.0225411394161394,-3.72707044770095,0.000931318112750751,0.0201178147433839,-0.743353166099435
"Gland Development",-0.923257663389242,0.0487658449007133,-3.59016879311406,0.00132578689437974,0.0201178147433839,-1.07134012805248
"Regulation Of Cellular Response To Growth Factor Stimulus",-0.923257663389242,0.0487658449007133,-3.59016879311406,0.00132578689437974,0.0201178147433839,-1.07134012805248
"Response To Endogenous Stimulus",0.648374940184369,0.051759455328927,3.53590342348123,0.00152371611473034,0.0201178147433839,-1.20030430499458
"Adaptation Of Signaling Pathway",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Endocytosis",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Negative Regulation Of G Protein Coupled Receptor Signaling Pathway",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Receptor Internalization",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Receptor Mediated Endocytosis",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Receptor Metabolic Process",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Regulation Of G Protein Coupled Receptor Signaling Pathway",-0.864059472603271,0.0478864411377199,-3.50196489172822,0.00166182126863759,0.0201178147433839,-1.28063547217873
"Cell Cycle Process",-0.889730649784998,-0.0120107262906176,-3.4717624995111,0.00179489796966994,0.0201178147433839,-1.35190441683452
"Regulation Of Cell Cycle",-0.889730649784998,-0.0120107262906176,-3.4717624995111,0.00179489796966994,0.0201178147433839,-1.35190441683452
"Regulation Of Cell Cycle Process",-0.889730649784998,-0.0120107262906176,-3.4717624995111,0.00179489796966994,0.0201178147433839,-1.35190441683452
"Regulation Of Trans Synaptic Signaling",0.776534714601709,0.0844890290488221,3.38897993276777,0.00221487838396206,0.0238320914114317,-1.54613919620149
"Negative Regulation Of Defense Response",0.81336502039627,-0.0740072427572428,3.18805791349768,0.00366736801435583,0.0309082206479134,-2.01012599655618
"Negative Regulation Of Inflammatory Response",0.81336502039627,-0.0740072427572428,3.18805791349768,0.00366736801435583,0.0309082206479134,-2.01012599655618
"Negative Regulation Of Response To External Stimulus",0.81336502039627,-0.0740072427572428,3.18805791349768,0.00366736801435583,0.0309082206479134,-2.01012599655618
"Negative Regulation Of Cell Death",0.863450917686115,0.05997414318138,3.18702339207855,0.00367681435216814,0.0309082206479134,-2.01248538273947
"Programmed Cell Death",0.863450917686115,0.05997414318138,3.18702339207855,0.00367681435216814,0.0309082206479134,-2.01248538273947
"Regulation Of Anatomical Structure Morphogenesis",0.863450917686115,0.05997414318138,3.18702339207855,0.00367681435216814,0.0309082206479134,-2.01248538273947
"Regulation Of Cell Death",0.863450917686115,0.05997414318138,3.18702339207855,0.00367681435216814,0.0309082206479134,-2.01248538273947
"Response To Nitrogen Compound",0.777194481716919,-0.0498137983623899,2.97890121212538,0.00613478999717613,0.0500078336133448,-2.48023651176613
"Cell Cycle",-0.664830319436348,0.0439359203922376,-2.86213346563702,0.00813271660585215,0.0643441402051244,-2.73612676523192
"Central Nervous System Development",-0.771980031546111,0.091160638896707,-2.75231962710356,0.0105609909407837,0.074878994668066,-2.97201227600313
"Negative Regulation Of Cell Population Proliferation",-0.79688832054561,-0.0696611253196931,-2.74997491448071,0.0106196151727163,0.074878994668066,-2.97699575700874
"Synaptic Signaling",0.588711200852662,0.0660297599848027,2.73587933922793,0.0109785385795243,0.074878994668066,-3.00690656153231
"Vesicle Membrane",-0.676001394817903,0.117545989680916,-2.72942924055414,0.0111465530337636,0.074878994668066,-3.02056601970528
"Regulation Of Cell Differentiation",0.695207664710289,0.0676968629615434,2.72931662916836,0.0111495077028505,0.074878994668066,-3.02080434341848
"Regulation Of Multicellular Organismal Development",0.695207664710289,0.0676968629615434,2.72931662916836,0.0111495077028505,0.074878994668066,-3.02080434341848
"Regulation Of Signaling Receptor Activity",0.65319358609609,0.0544690715420855,2.71939314483544,0.0114127835739431,0.074878994668066,-3.04178483826369
"Response To Growth Factor",0.534659226869696,0.0478529692796546,2.48949428737389,0.0194056589860305,0.124288625410529,-3.51563051940339
"Kinase Binding",-0.481417087112868,0.0216754449865539,-2.37649926009515,0.0250038914946436,0.156419693303701,-3.73929774484018
"Bone Development",0.677902630350386,0.0101316403754484,2.30664243682768,0.0291683621138203,0.162833719684963,-3.87428087411456
"Cellular Response To Organic Cyclic Compound",0.677902630350386,0.0101316403754484,2.30664243682768,0.0291683621138203,0.162833719684963,-3.87428087411456
"Response To Organic Cyclic Compound",0.677902630350386,0.0101316403754484,2.30664243682768,0.0291683621138203,0.162833719684963,-3.87428087411456
"Response To Oxygen Containing Compound",0.677902630350386,0.0101316403754484,2.30664243682768,0.0291683621138203,0.162833719684963,-3.87428087411456
"Skeletal System Development",0.677902630350386,0.0101316403754484,2.30664243682768,0.0291683621138203,0.162833719684963,-3.87428087411456
"Cellular Response To Endogenous Stimulus",0.490663186556953,-0.0179269209498822,2.29898758383221,0.0296611608348073,0.162833719684963,-3.8889137078819
"Microtubule Binding",-0.624584250029297,0.00367050615792875,-2.2619208816584,0.0321561070118137,0.169607701689763,-3.9593174529089
