"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Schizophrenia",0.639705882352941,-0.42625,-0.6875,-0.721590909090909,-0.758223684210526,-0.875,-0.851102941176471,-0.59375,-0.8125,-0.580882352941176,-0.75,-0.84375,-0.59375,-0.533333333333333,0.493055555555556,-0.59375,-0.84375,-0.620923913043478,-0.8125,-0.84375,-0.447916666666667,-0.625,-0.78125,-0.888888888888889,-0.75,0.34375,-0.375,-0.599431818181818,0.8125,0.810855263157895,0.84375,0.572916666666667,0.65625,0.4375,0.9375,0.625,0.607638888888889,0.909926470588235,0.475328947368421,0.59375,0.730654761904762,0.78125,0.279411764705882,0.739130434782609,0.839583333333333,0.8125,0.64375,0.696022727272727,0.59375,0.6875,0.894736842105263,-0.5625,0.502083333333333,0.542613636363636,0.53125,0.5625,0.80952380952381,-0.34375,0.65625,0.75
"Liver_carcinoma",-0.32258064516129,0.592030360531309,0.67741935483871,0.387096774193549,0.605990783410138,0.549308755760369,0.774193548387097,0.385304659498208,0.903225806451613,0.935483870967742,-0.727272727272727,0.870967741935484,0.840725806451613,0.67741935483871,0.578494623655914,-0.534562211981567,0.471198156682028,-0.709677419354838,-0.46607341490545,0.741935483870968,0.599078341013825,0.410138248847926,-0.290322580645161,0.746294681778553,0.689149560117302,0.645161290322581,-0.721407624633431,0.617302052785924,-0.49887471867967,-0.64516129032258,0.419354838709677,-0.449820788530466,-0.699308755760368,-0.290322580645161,-0.602150537634408,-0.548387096774193,-0.575682382133995,-0.578901482127288,-0.592741935483871,0.580645161290323,-0.32258064516129,-0.592592592592592,0.512406947890819,-0.678709677419354,-0.551971326164874,-0.573670444638186,0.329593267882188,-0.567741935483871,-0.741935483870967,-0.39516129032258,-0.403225806451613,0.903225806451613,0.686379928315412,0.646815550041357,-0.625448028673835,-0.290322580645161,-0.500948766603415,-0.806451612903225,-0.770967741935483,-0.677419354838709
"Alcoholic_Intoxication,_Chronic",0.59375,-0.471467391304348,-0.75,-0.638888888888889,-0.96875,-0.875,-0.46875,0.465277777777778,-0.4975,-0.396739130434783,-0.78125,-0.400735294117647,0.568181818181818,-0.4375,0.454741379310345,-0.78125,-0.6875,0.65625,-0.8125,0.5375,0.729166666666667,0.40625,-0.96875,0.515151515151515,-0.55625,-0.65625,-0.78125,0.415178571428571,0.336805555555556,0.696022727272727,0.84375,-0.40625,-0.4375,-0.59375,0.909926470588235,0.5625,-0.310661764705882,0.729166666666667,-0.28125,-0.65625,0.696022727272727,0.614583333333333,0.494047619047619,0.35,0.78125,0.75,0.6875,0.76875,-0.28125,-0.3125,1,0.690340909090909,0.76875,0.9375,-0.68125,-0.46875,1,0.513392857142857,-0.674342105263158,0.6875
"Malignant_Neoplasms",0.525,0.71875,-0.375,-0.721590909090909,0.625,-0.615384615384615,0.700892857142857,-0.71875,-0.68125,0.730654761904762,-0.75,-0.375,-0.504464285714286,-0.615384615384615,-0.446428571428571,-0.46875,-0.75,-0.71875,-0.525297619047619,0.444711538461538,-0.525297619047619,0.475328947368421,-0.28125,-0.59375,0.619318181818182,0.6875,0.65625,0.819852941176471,0.46625,-0.675,0.770833333333333,0.78125,-0.78125,-0.473557692307692,-0.4375,0.84375,0.53125,0.540178571428571,0.71875,0.625,-0.424107142857143,-1,0.78125,0.607142857142857,0.513392857142857,-0.485991379310345,0.6875,-0.34375,-0.842105263157895,0.65625,-0.772916666666667,0.76875,-0.573863636363636,0.494047619047619,-0.732142857142857,-0.40625,-0.65625,-0.75,-0.367559523809524,0.442307692307692
"Prostatic_Neoplasms",0.65625,-0.6875,-0.8125,0.78125,-0.75,0.607638888888889,-0.573863636363636,-0.802083333333333,-0.490808823529412,-0.941176470588235,0.6875,-0.715277777777778,0.9375,0.71875,0.708333333333333,0.559210526315789,-0.59375,0.6875,0.766826923076923,-0.545673076923077,0.726973684210526,0.875,0.540178571428571,-0.84375,-0.84375,-0.625,-0.629464285714286,-0.71875,0.40625,0.6875,-0.78125,-0.8125,0.810855263157895,-0.56875,-0.71875,-0.71875,0.6875,0.5625,-0.6875,0.894736842105263,0.495535714285714,0.90625,-0.8125,-0.592592592592593,0.71875,0.857638888888889,-0.941176470588235,0.819852941176471,0.6875,-0.4375,0.65625,-0.90625,0.53125,0.819852941176471,0.514423076923077,0.395,0.766826923076923,0.772727272727273,-0.34375,-0.638888888888889
"Malignant_neoplasm_of_prostate",0.65625,-0.6875,-0.8125,0.78125,-0.75,0.607638888888889,-0.573863636363636,-0.802083333333333,-0.490808823529412,-0.941176470588235,0.6875,-0.715277777777778,0.9375,0.71875,0.708333333333333,0.559210526315789,-0.59375,0.6875,0.766826923076923,-0.545673076923077,0.726973684210526,0.875,0.540178571428571,-0.84375,-0.84375,-0.625,-0.629464285714286,-0.71875,0.40625,0.6875,-0.78125,-0.8125,0.810855263157895,-0.56875,-0.71875,-0.71875,0.6875,0.5625,-0.6875,0.894736842105263,0.495535714285714,0.90625,-0.8125,-0.592592592592593,0.71875,0.857638888888889,-0.941176470588235,0.819852941176471,0.6875,-0.4375,0.65625,-0.90625,0.53125,0.819852941176471,0.514423076923077,0.395,0.766826923076923,0.772727272727273,-0.34375,-0.638888888888889
"Depression,_Bipolar",0.53125,0.424768518518518,0.369485294117647,0.5625,0.484879032258065,-0.39375,0.53125,0.51875,-0.6875,0.493055555555556,-0.78125,-0.479166666666667,-0.28125,0.839583333333333,0.819852941176471,-0.78125,-0.338815789473684,0.385416666666667,-0.473557692307692,-0.721590909090909,0.391447368421053,-0.625,-0.551724137931034,-0.8,-0.834821428571429,-0.6875,0.542613636363636,0.465909090909091,0.307565789473684,0.76875,-0.4975,0.423611111111111,0.6875,-0.8125,0.664402173913043,0.625,0.75,0.839583333333333,-0.496527777777778,0.75,0.76875,-0.520833333333333,-0.3125,-0.625,-0.533333333333333,0.65625,0.59375,0.810855263157895,-0.422697368421053,-0.420454545454545,0.586206896551724,-0.721590909090909,0.520474137931034,0.78125,-0.721590909090909,-0.46875,0.53125,-0.38125,0.5625,-0.59375
"Colorectal_Carcinoma",0.436185133239832,0.838709677419355,-0.495601173020528,-0.354838709677419,-0.635483870967741,-0.876832844574779,0.685483870967742,0.487455197132617,0.33026113671275,-0.402150537634409,-0.575268817204301,0.472222222222222,-0.619915848527349,-0.870967741935483,-0.935483870967741,-0.470588235294117,0.354838709677419,-0.544665012406947,-0.565918653576437,0.419354838709677,-0.587436332767402,0.501075268817204,-0.806451612903225,0.53125,0.32741935483871,0.548387096774194,-0.403225806451613,0.544592030360531,-0.395815170008718,0.511921458625526,0.90713587487781,0.403225806451613,-0.394686907020873,-0.470967741935483,0.867511520737327,0.3841642228739,-0.419354838709677,0.870967741935484,0.774193548387097,-0.486943164362519,-0.387096774193548,0.451612903225807,0.461693548387097,0.702764976958526,0.491935483870968,0.698457223001403,0.903225806451613,-0.677419354838709,-0.451612903225806,-0.391705069124424,-0.483870967741935,0.399193548387097,-0.733036707452725,0.607142857142857,-0.511827956989247,-0.419354838709677,0.438330170777989,0.290322580645161,-0.45400238948626,-0.451612903225806
"Bipolar_Disorder",0.53125,0.424768518518518,0.369485294117647,0.5625,0.484879032258065,-0.39375,0.53125,0.51875,-0.6875,0.493055555555556,-0.78125,-0.479166666666667,-0.28125,0.839583333333333,0.819852941176471,-0.78125,-0.338815789473684,0.385416666666667,-0.473557692307692,-0.721590909090909,0.391447368421053,-0.625,-0.551724137931034,-0.8,-0.834821428571429,-0.6875,0.542613636363636,0.465909090909091,0.307565789473684,0.76875,-0.4975,0.423611111111111,0.6875,-0.8125,0.664402173913043,0.625,0.75,0.839583333333333,-0.496527777777778,0.75,0.76875,-0.520833333333333,-0.3125,-0.625,-0.533333333333333,0.65625,0.59375,0.810855263157895,-0.422697368421053,-0.420454545454545,0.586206896551724,-0.721590909090909,0.520474137931034,0.78125,-0.721590909090909,-0.46875,0.53125,-0.38125,0.5625,-0.59375
"Anoxemia",0.639705882352941,-0.42625,-0.6875,-0.721590909090909,-0.758223684210526,-0.875,-0.851102941176471,-0.59375,-0.8125,-0.580882352941176,-0.75,-0.84375,-0.59375,-0.533333333333333,0.493055555555556,-0.59375,-0.84375,-0.620923913043478,-0.8125,-0.84375,-0.447916666666667,-0.625,-0.78125,-0.888888888888889,-0.75,0.34375,-0.375,-0.599431818181818,0.8125,0.810855263157895,0.84375,0.572916666666667,0.65625,0.4375,0.9375,0.625,0.607638888888889,0.909926470588235,0.475328947368421,0.59375,0.730654761904762,0.78125,0.279411764705882,0.739130434782609,0.839583333333333,0.8125,0.64375,0.696022727272727,0.59375,0.6875,0.894736842105263,-0.5625,0.502083333333333,0.542613636363636,0.53125,0.5625,0.80952380952381,-0.34375,0.65625,0.75
