"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nervous System Process",0.939850661976756,0.0767595639780204,6.05029683532675,2.49057333393962e-07,6.69964226829758e-05,6.81952398861148
"Vesicle Membrane",-0.809197293413596,0.0875065925960674,-5.17853570516943,4.88950370409001e-06,0.000657638248200106,3.96465908028464
"Developmental Growth",0.87437952963764,0.0210832164593606,4.97774500624754,9.59874492360649e-06,0.000860687461483382,3.31986416223417
"Response To Endogenous Stimulus",0.549594740283854,0.0192804682168023,4.55543480533237,3.8807006777737e-05,0.00250349445436027,1.98842101882767
"Regulation Of Trans Synaptic Signaling",0.763140933878772,0.0847538372006563,4.49975462025065,4.65333541702653e-05,0.00250349445436027,1.81584695805114
"Vesicle Organization",-0.774986315427492,0.0267652486402486,-4.14377807993227,0.00014599175890116,0.00654529719073536,0.732346010412495
"Positive Regulation Of Protein Metabolic Process",0.701604589842919,-0.0242786918718866,3.9743821738462,0.00024856461823933,0.00955198318662568,0.230328939458587
"Regulation Of Signaling Receptor Activity",0.644749604008941,0.0120379364882644,3.72468859003631,0.000535851440476782,0.0131089983303865,-0.491135304334446
"Regulation Of Cell Differentiation",0.646346118115905,0.0307527095475197,3.70178763754959,0.000574363101927762,0.0131089983303865,-0.556109932572151
"Regulation Of Multicellular Organismal Development",0.646346118115905,0.0307527095475197,3.70178763754959,0.000574363101927762,0.0131089983303865,-0.556109932572151
"Response To Nitrogen Compound",0.65846904024687,-0.00476781745190626,3.68265764281324,0.000608560605412583,0.0131089983303865,-0.610223776987231
"Positive Regulation Of Transport",-0.676082364142157,-0.048801783047951,-3.64472164040362,0.000682252701209704,0.0131089983303865,-0.717093434431047
"Regulation Of Vesicle Mediated Transport",-0.676082364142157,-0.048801783047951,-3.64472164040362,0.000682252701209704,0.0131089983303865,-0.717093434431047
"Secretion",-0.676082364142157,-0.048801783047951,-3.64472164040362,0.000682252701209704,0.0131089983303865,-0.717093434431047
"Growth",0.46392388103949,0.0581230501894482,3.59602018308493,0.000789480200125908,0.0141580115889246,-0.853414657702278
"Secretory Granule",-0.681808058223752,0.0039878853689385,-3.53227762908671,0.00095441629093626,0.0151022342506973,-1.03031289060956
"Secretory Granule Membrane",-0.681808058223752,0.0039878853689385,-3.53227762908671,0.00095441629093626,0.0151022342506973,-1.03031289060956
"Cell Cycle",-0.577946195451655,0.0513600924084918,-3.39461556766221,0.00143007510778617,0.0154418059138091,-1.40621322614715
